"","gene","observed_stat","p_value","q_value","significant","direction","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5","Zone_6","Zone_7","Zone_8","Zone_9","Zone_10"
"gulo","gulo",139.83358872985,0,0,TRUE,"CV-enriched",3.17707444489874e-06,1.58283840523752,11.0787991641858,15.2281805959749,13.3997758608165,10.1379048815401,7.2808317046793,5.15983411873621,3.66820750762357,2.63463585413959
"hdac4","hdac4",3.74313037154351,0,0,TRUE,"CV-enriched",1.93457870146556e-07,0.359767345866471,1.97334014517134,2.40469570945979,1.97742521556783,1.43322830048796,0.999380077067099,0.693176225010021,0.484792693122132,0.343746486448863
"hira","hira",5.54019025373877,0,0,TRUE,"CV-enriched",8.45024686773872e-08,0.321414108023879,2.23583544284388,2.99771018054848,2.59127202030591,1.93614296074442,1.37789058408411,0.969787066597895,0.685736470317275,0.490400567334916
"hpd","hpd",2655.26679453757,0,0,TRUE,"CV-enriched",7.28945856111676e-06,6.23590153990712,47.0478664884133,66.7383504250875,59.7673600847289,45.7324832059949,33.104764586741,23.598516948827,16.8523048868385,12.1473178917493
"iars2","iars2",20.0109551508256,0,0,TRUE,"CV-enriched",9.1295531052466e-08,0.564141822169956,4.17359565887638,5.71742748672064,4.99452586698749,3.75477997704726,2.68283395811193,1.89350104365818,1.3416435307822,0.960976365102795
"ilvbl","ilvbl",15.1384793944174,0,0,TRUE,"CV-enriched",4.87910828029785e-07,0.550952873199163,3.70898833527633,4.97113359303752,4.30299987821575,3.21865450328489,2.29240230216225,1.61433082177607,1.14194973854689,0.816900944162669
"inafm2","inafm2",11.4149084276276,0,0,TRUE,"CV-enriched",1.1360902504525e-07,0.509574574661448,3.28807177862017,4.27328738472819,3.63850783452988,2.69583793545293,1.90864458666189,1.33876014905555,0.94438322764429,0.67419925213632
"inhbc","inhbc",138.870334726375,0,0,TRUE,"CV-enriched",4.18110708923751e-07,1.51455828445287,10.9793019702572,15.1485589168161,13.3401828343996,10.0955595282714,7.25153008536753,5.139674199721,3.65425211986519,2.62485875084614
"itih4","itih4",1483.87503761988,0,0,TRUE,"CV-enriched",6.28085577463911e-06,4.89218511815598,35.5774272142631,49.8248337978142,44.3558785189695,33.8292719513044,24.4393392863569,17.3984259426262,12.4132085534577,8.94156042408482
"lamp2","lamp2",3434.6280916497,0,0,TRUE,"PN-enriched",5.99476372092672e-06,6.66818864354796,52.8777707374197,75.858391340729,68.1883047150621,52.2519993838584,37.8468212890256,26.9851145338689,19.2719079914183,13.8910539691755
"lpl","lpl",143.899365822203,0,0,TRUE,"CV-enriched",2.60109751282796e-06,1.71672000294193,11.4399309396569,15.3655518033512,13.3450001250992,10.0125909314955,7.14950823904298,5.04546372923452,3.5753991808201,2.56149514127766
"lrrc41","lrrc41",31.8906666029663,0,0,TRUE,"CV-enriched",1.21263984575746e-07,0.692221110931822,5.22289903609854,7.24634098452262,6.38414564592674,4.82853957151241,3.46561153925392,2.4544993894169,1.74396217539256,1.25196407543122
"mcm3ap","mcm3ap",2.97913477394322,0,0,TRUE,"CV-enriched",7.06952063113412e-08,0.264886206155631,1.68681495933778,2.17727856041872,1.84403395818181,1.36050589020291,0.959954747782343,0.671460368939494,0.472570417300087,0.33671979548435
"morc3","morc3",8.06130025078141,0,0,TRUE,"CV-enriched",4.17897388085117e-08,0.348339510380306,2.63945429833325,3.62000277513013,3.15405904978594,2.36399574748976,1.68445732160063,1.18604242260879,0.838673107780859,0.599677967716457
"mug1","mug1",1787.67186859485,0,0,TRUE,"CV-enriched",1.23067086535885e-05,5.64652190610664,39.4494274439302,54.6643913378858,48.4221947003117,36.8203774119169,26.5462872321738,18.8703433872118,13.4480404283362,9.67820577949601
"mug2","mug2",324.414306884745,0,0,TRUE,"CV-enriched",4.79038196388832e-06,2.17938569962317,16.4908830509693,23.2603920532409,20.7173438941321,15.7830371874732,11.3855331665003,8.09371659918912,5.76698846050833,4.14922494435262
"ndrg1","ndrg1",0.815755976840697,0,0,TRUE,"CV-enriched",1.00312282347244e-06,0.235581379003216,0.98357192627034,1.11006074363321,0.88287722145429,0.628247973462843,0.433004915197063,0.297929557132346,0.207139891877769,0.146211988046398
"nt5dc3","nt5dc3",11.0673277958984,0,0,TRUE,"CV-enriched",1.34917856136809e-07,0.492219180726766,3.21716020612711,4.22395247512333,3.61892595524926,2.69210113240509,1.91126204504509,1.34327770739083,0.949000783035443,0.67829352642604
"oat","oat",65.4495894420672,0,0,TRUE,"CV-enriched",5.18630792564326e-06,1.28535322205878,7.87524056223652,10.352337448178,8.90469923884983,6.64450385229932,4.72768653412133,3.32805932412344,2.3540331033546,1.6840822670892
"p4hb","p4hb",3153.07081563535,0,0,TRUE,"CV-enriched",4.01660419066765e-06,6.59134448826701,51.0392675179244,72.620879205077,65.0242591424849,49.7166726097889,35.959141186889,25.6138917848199,18.2794295600167,13.1684425951464
"pon1","pon1",1192.27820899274,0,0,TRUE,"CV-enriched",1.30298293188814e-05,4.5141674672521,31.9987364675702,44.7302117478677,39.8023719003388,30.3456932079627,21.9151243291786,15.5962799193842,11.1240242730854,8.01068387295816
"psap","psap",727.053879862645,0,0,TRUE,"CV-enriched",1.59045467585926e-06,3.25038535680568,24.6332140729528,34.8768374419035,31.170266543396,23.8099197516835,17.2115366920094,12.2552306346379,8.74359549353227,6.29755404164038
"ptpn6","ptpn6",3.30188981089147,0,0,TRUE,"CV-enriched",1.38569674862208e-07,0.306264684932141,1.81038187850598,2.28320950469876,1.91250820900032,1.40187039239868,0.984874182410414,0.686762101740448,0.482213837715513,0.342964895315366
"pzp","pzp",767.405048071505,0,0,TRUE,"CV-enriched",9.86599981468766e-06,3.61148913657143,25.7124551303823,35.8267916689478,31.8079743190072,24.216144892878,17.4722277719377,12.4265572156724,8.85926356533369,6.37769074493437
"rcan1","rcan1",31.6090943680098,0,0,TRUE,"CV-enriched",3.66984784612565e-06,0.861967859260987,5.42728520484743,7.20917036841504,6.23589397204051,4.66973662261196,3.33090449634788,2.3491331977168,1.66398408824662,1.19177283480685
"retsat","retsat",536.818404313682,0,0,TRUE,"CV-enriched",7.77348722971548e-07,2.82291660630439,21.2791015486279,29.9037911380464,26.6183358942301,20.2872109331794,14.6454606507324,10.419320253545,7.42964014502046,5.34916858593961
"rfng","rfng",7.75832836745369,0,0,TRUE,"CV-enriched",6.65124625095836e-08,0.355084853129865,2.61095008127468,3.54652300253031,3.07607192645037,2.29965590219234,1.63596660637029,1.15063064774183,0.81298644287312,0.580964025185709
"rgn","rgn",1609.42527374354,0,0,TRUE,"CV-enriched",7.07696015835137e-06,5.02300751878046,36.9448867846146,51.8603693479856,46.1510208855651,35.1626509019044,25.3745813849811,18.0455572724631,12.8630050871132,9.25799980039474
"sall1","sall1",12.3147646695256,0,0,TRUE,"CV-enriched",2.96659574226702e-07,0.501409273672753,3.35641890246288,4.47702822636879,3.86663268709268,2.88908376500802,2.05651321225522,1.44778373649008,1.02397732835173,0.73245256268948
"sardh","sardh",1019.86503613788,0,0,TRUE,"CV-enriched",1.45824463155128e-05,4.08720809186559,29.4808042074351,41.3479528238183,36.8208512798964,28.0745441578349,20.27194562761,14.4237905456254,10.2854196958837,7.4051707914928
"scp2","scp2",17348.3462352037,0,0,TRUE,"CV-enriched",1.57203022365528e-05,15.7861525157752,120.128074978981,170.422963178143,152.444668903114,116.502792612449,84.241965972389,59.9958581480113,42.8112200098873,30.8384361401393
"serpina1c","serpina1c",15666.3659914202,0,0,TRUE,"PN-enriched",1.38529207987856e-05,14.1917084142852,112.630477027945,162.256896373342,146.296897638778,112.34900020385,81.5054163080947,58.1844051450265,41.5928563429236,30.0026832224024
"serpina3k","serpina3k",20114.937593452,0,0,TRUE,"CV-enriched",1.82962275806218e-05,16.8263848641747,129.014597731409,183.605098779341,164.527327519323,125.880886594322,91.0963074578786,64.9159868311758,46.3432719886074,33.3948185015756
"serpina3m","serpina3m",540.925258467355,0,0,TRUE,"CV-enriched",5.46110385951251e-06,2.94308147092405,21.4849341135535,30.0412004491005,26.6750984190698,20.2970386169384,14.6346597910779,10.4017258456398,7.41142117162425,5.33269715713828
"slc1a2","slc1a2",10.1452442444653,0,0,TRUE,"CV-enriched",6.81605778776546e-06,0.693020810418811,3.34002585076319,3.95896248440168,3.21660808116027,2.31528708627043,1.60706863109979,1.11103859387489,0.775130041870685,0.54855934916644
"slc22a1","slc22a1",284.328744691719,0,0,TRUE,"CV-enriched",1.59237328478373e-05,2.58235344232413,16.1766505282956,21.7861087818223,19.05890549759,14.3923535152023,10.3309271666515,7.32148577838246,5.20614458484498,3.74039989526759
"slc27a5","slc27a5",565.853079645587,0,0,TRUE,"CV-enriched",7.73276332894761e-06,3.22307158788129,22.2871016720544,30.7182909971015,27.126773223177,20.5876999446975,14.8241206394391,10.5282613551024,7.49811891709594,5.39354136062517
"slco1b2","slco1b2",1291.00278883809,0,0,TRUE,"CV-enriched",9.01149650636629e-06,4.78250853064984,33.536599074856,46.3833167771957,40.978113477444,31.0855827770745,22.3669520259342,15.8732183323734,11.2965919220815,8.12049159101917
"smad1","smad1",75.7459936729008,0,0,TRUE,"CV-enriched",2.6356979727623e-07,1.18380481695583,8.24822532266678,11.1072628173584,9.6345551159471,7.2170673408558,5.14592324547868,3.62709053035131,2.56766493434057,1.83795294706762
"stard10","stard10",4704.41043477535,0,0,TRUE,"CV-enriched",1.40333403102075e-05,8.34669585907874,62.7845174980877,88.6923002714887,79.1478225230981,60.3943603829566,43.6234255018436,31.0430330814404,22.1376267505667,15.9386337392885
"tanc2","tanc2",1.08170151026371,0,0,TRUE,"CV-enriched",9.9841335209453e-08,0.18342392603103,1.05133874170863,1.28898982812653,1.05870411068027,0.765374208024266,0.532295228150263,0.368335210983293,0.257079115799267,0.181962647263162
"tfr2","tfr2",660.414716052538,0,0,TRUE,"CV-enriched",2.98264959033594e-06,3.27251863358652,23.7667283151031,33.1908107200836,29.4528849116406,22.3982726505428,16.1415830700617,11.4676010058778,8.16759101476518,5.87468555815189
"tlr12","tlr12",1.53181005906354,0,0,TRUE,"CV-enriched",3.56840052408833e-08,0.185205657100841,1.20764912478114,1.55193790539693,1.30524323811633,0.957015006311778,0.671800786849869,0.467939704504094,0.328199587128462,0.233180772012196
"tmbim6","tmbim6",2796.39999828561,0,0,TRUE,"PN-enriched",6.3258595837557e-06,6.16318404812624,47.9231134974848,68.4665809719705,61.4512371699719,47.0557434517409,34.06953706233,24.2859191523535,17.3414091236966,12.4981424810335
"tmem11","tmem11",38.3047570847595,0,0,TRUE,"CV-enriched",2.57899154964197e-07,0.78971192757904,5.75463302104647,7.95885321200636,7.01529098183537,5.31077972757766,3.81495306655431,2.70381329483048,1.92220186309936,1.38056478119504
"trf","trf",10716.581844066,0,0,TRUE,"CV-enriched",1.42074544705321e-05,12.3947167951733,94.3066822108643,134.089252256999,120.21047982394,92.0380314410708,66.6510296402149,47.5253497705416,33.946406222144,24.4730824573541
"ubc","ubc",752.177876678296,0,0,TRUE,"CV-enriched",5.74270248867075e-06,3.56716795530111,25.4051528095895,35.5145746796553,31.6030100502287,24.0956494384183,17.4023309484367,12.3852243826228,8.83408088928817,6.36184599612924
"ugt2b5","ugt2b5",1923.69756525555,0,0,TRUE,"CV-enriched",9.75863327983603e-06,5.56978101176487,40.4090642463919,56.8290394578863,50.7206696980927,38.7421428417464,28.0150000810165,19.9563389201649,14.2442748533767,10.2636471382383
"vcp","vcp",862.289960733388,0,0,TRUE,"CV-enriched",5.17637194930877e-06,3.6885323981505,27.0484926418664,37.9787517028098,33.8192479751114,25.7831886844247,18.6162716167315,13.2454953581224,9.4452681229257,6.80045492692598
"vtn","vtn",2062.73757409679,0,0,TRUE,"CV-enriched",5.18257058766905e-06,5.72563395291914,41.9429586870159,58.6634352488048,52.1310245230301,39.6976112517181,28.6423808212164,20.3693888716686,14.5204139424621,10.4519224436525
"wdtc1","wdtc1",38.0625776322816,0,0,TRUE,"CV-enriched",1.40368416086501e-07,0.765013841682674,5.7171683180013,7.91539589710217,6.96460912429575,5.26211692164989,3.77353124004452,2.67061919928998,1.89633008045035,1.36061364972244
"zfp697","zfp697",0.717409213012271,0,0,TRUE,"CV-enriched",1.13902772633485e-07,0.182142385873258,0.894462350693035,1.02861672538379,0.819185221059622,0.582302271448727,0.400884433407831,0.275593592166529,0.191497013663633,0.135116795057633
"mt-atp6","mt-atp6",9550.71526130144,0,0,TRUE,"CV-enriched",2.2343199202669e-05,12.5406497375843,90.5621711051088,126.207820545776,111.939252738067,85.1329758008051,61.3676822054325,43.6113279360077,31.0709456179294,22.3548220823702
"mt-co1","mt-co1",19389.153554977,0,0,TRUE,"CV-enriched",2.76054399420905e-05,18.0395179826173,129.307652533408,179.772433715802,159.244591744816,121.010002503289,87.1782388206825,61.9263976635898,44.1043049624449,31.7232056046315
"mt-co2","mt-co2",11685.2262621395,0,0,TRUE,"CV-enriched",2.04777356774058e-05,13.9176150783288,100.264210350899,139.565119561631,123.703086004627,94.038120736326,67.7656455026045,48.1467839313718,34.2959890332331,24.6715739228638
"mt-co3","mt-co3",18428.205881119,0,0,TRUE,"CV-enriched",3.1302251813457e-05,17.892225117015,126.590379693395,175.141337357682,154.771903461434,117.44843890467,84.5370254249722,60.0132040660108,42.7224926389756,30.7188062685567
"mt-cytb","mt-cytb",10802.4177767157,0,0,TRUE,"CV-enriched",1.62186626096117e-05,12.9911867291117,95.7434170936831,134.315457490207,119.516246103934,91.0681665418754,65.7275809403503,46.7505045606836,33.3289809404851,23.9913450747158
"mt-nd1","mt-nd1",9565.06462017255,0,0,TRUE,"CV-enriched",2.27169371316276e-05,12.4049673626475,90.3470035968518,126.391794284327,112.329718927321,85.5350612423157,61.708104984364,43.878856844409,31.275174034197,22.5093527644062
"mt-nd2","mt-nd2",10230.0202078623,0,0,TRUE,"CV-enriched",1.73912958131126e-05,12.8470322671614,93.5361806819121,130.613615835237,115.927558559615,88.190298379267,63.578377837264,45.1839451733223,32.1913831370852,23.1605906735146
"mt-nd3","mt-nd3",6385.20248628223,0,0,TRUE,"CV-enriched",1.69121608248721e-05,10.210573309979,73.9492737448257,103.240278714991,91.6638056543267,69.7596223863536,50.3092063338772,35.764688947696,25.4871922620493,18.3411767885327
"mt-nd4","mt-nd4",19453.4312089617,0,0,TRUE,"CV-enriched",2.24213582298204e-05,17.5826744353192,128.794275379305,180.108806643615,159.94113493021,121.701241175825,87.7473501749654,62.3642627653972,44.43308191981,31.9687042789478
"mt-nd4l","mt-nd4l",2887.32581829011,0,0,TRUE,"CV-enriched",1.70298240066438e-05,6.95241131628104,49.9024574093011,69.3349073022634,61.3541636860206,46.578346667807,33.5288408105035,23.8008848901068,16.9415688407575,12.1799010296911
"mt-nd5","mt-nd5",2155.15521471218,0,0,TRUE,"CV-enriched",1.43723951558276e-05,6.06508422087978,43.2130608228701,59.8896129922938,52.945359923876,40.178821989946,28.9176144242788,20.52645498634,14.610784386446,10.5044561152842
